,keltner,engulf
0,Signal.WAIT,Signal.WAIT
1,Signal.SELL,Signal.WAIT
2,Signal.WAIT,Signal.WAIT
3,Signal.WAIT,Signal.WAIT
4,Signal.WAIT,Signal.SELL
5,Signal.WAIT,Signal.WAIT
6,Signal.WAIT,Signal.WAIT
7,Signal.WAIT,Signal.WAIT
8,Signal.WAIT,Signal.SELL
9,Signal.WAIT,Signal.WAIT
10,Signal.WAIT,Signal.WAIT
11,Signal.WAIT,Signal.BUY
12,Signal.WAIT,Signal.WAIT
13,Signal.WAIT,Signal.BUY
14,Signal.WAIT,Signal.WAIT
15,Signal.SELL,Signal.WAIT
16,Signal.SELL,Signal.WAIT
17,Signal.SELL,Signal.BUY
18,Signal.SELL,Signal.WAIT
19,Signal.SELL,Signal.WAIT
20,Signal.SELL,Signal.WAIT
21,Signal.SELL,Signal.SELL
22,Signal.SELL,Signal.BUY
23,Signal.SELL,Signal.WAIT
24,Signal.SELL,Signal.BUY
25,Signal.WAIT,Signal.SELL
26,Signal.WAIT,Signal.WAIT
27,Signal.WAIT,Signal.WAIT
28,Signal.WAIT,Signal.WAIT
29,Signal.WAIT,Signal.WAIT
30,Signal.BUY,Signal.SELL
31,Signal.BUY,Signal.WAIT
32,Signal.BUY,Signal.WAIT
33,Signal.WAIT,Signal.BUY
34,Signal.BUY,Signal.SELL
35,Signal.BUY,Signal.WAIT
36,Signal.WAIT,Signal.WAIT
37,Signal.WAIT,Signal.WAIT
38,Signal.WAIT,Signal.WAIT
39,Signal.BUY,Signal.SELL
40,Signal.WAIT,Signal.WAIT
41,Signal.WAIT,Signal.WAIT
42,Signal.WAIT,Signal.WAIT
43,Signal.WAIT,Signal.WAIT
44,Signal.WAIT,Signal.WAIT
45,Signal.WAIT,Signal.SELL
46,Signal.BUY,Signal.WAIT
47,Signal.WAIT,Signal.WAIT
48,Signal.WAIT,Signal.WAIT
49,Signal.BUY,Signal.WAIT
50,Signal.BUY,Signal.WAIT
51,Signal.BUY,Signal.WAIT
52,Signal.BUY,Signal.WAIT
53,Signal.BUY,Signal.WAIT
54,Signal.BUY,Signal.WAIT
55,Signal.BUY,Signal.WAIT
56,Signal.BUY,Signal.SELL
57,Signal.BUY,Signal.WAIT
58,Signal.BUY,Signal.BUY
59,Signal.BUY,Signal.WAIT
60,Signal.BUY,Signal.WAIT
61,Signal.BUY,Signal.BUY
62,Signal.WAIT,Signal.WAIT
