,atr
748480,0.0
748481,0.0
748482,0.0
748483,0.0
748484,0.0
748485,0.0
748486,0.0
748487,0.0
748488,0.0
748489,0.0
748490,0.0
748491,0.0
748492,0.0
748493,0.0
748494,0.0
748495,0.0
748496,0.0
748497,0.0
748498,0.0
748499,0.0
748500,0.0
748501,0.0
748502,0.0
748503,0.0
748504,0.0
748505,0.0
748506,0.0
748507,0.0
748508,0.0
748509,0.0
748510,0.0
748511,0.0
748512,0.0
748513,0.0
748514,0.0
748515,0.0
748516,0.0
748517,0.0
748518,0.0
748519,0.0
748520,0.0
748521,0.0
748522,0.0
748523,0.0
748524,0.0
748525,0.0
748526,0.0
748527,0.0
748528,0.0
748529,11.16
748530,10.956800000000001
748531,11.757664000000002
748532,12.412510720000002
748533,14.454260505600002
748534,15.145175295488002
748535,15.422271789578241
748536,16.613826353786678
748537,16.461549826710943
748538,16.522318830176722
748539,16.291872453573188
748540,16.376035004501723
748541,16.64851430441169
748542,16.725544018323458
748543,16.971033137956987
748544,16.671612475197847
748545,16.36818022569389
748546,16.340816621180014
748547,17.044000288756415
748548,18.033120282981287
748549,19.20245787732166
748550,20.43840871977523
748551,20.719640545379725
748552,21.945247734472133
748553,22.82634277978269
748554,22.769815924187032
748555,22.32441960570329
748556,21.967931213589228
748557,23.408572589317444
748558,24.970401137531095
748559,24.48099311478047
748560,24.011373252484862
748561,23.541145787435166
748562,23.680322871686464
748563,23.326716414252733
748564,23.050182085967677
748565,22.599178444248324
748566,22.157194875363356
748567,21.734050977856086
748568,21.319369958298964
748569,20.912982559132985
748570,21.114722907950327
748571,20.81242844979132
748572,21.416179880795493
748573,21.607856283179586
748574,21.375699157515996
748575,20.958185174365678
748576,20.549021470878365
748577,20.2180410414608
748578,19.963680220631584
748579,19.564406616218953
748580,19.173118483894577
748581,19.069656114216684
748582,18.70826299193235
748583,18.344097732093704
748584,18.19721577745183
748585,17.853271461902793
748586,17.566206032664738
748587,17.22488191201144
748588,16.880384273771213
748589,16.76277658829579
748590,16.497521056529873
748591,16.187570635399275
748592,15.87381922269129
748593,15.706342838237465
748594,15.672215981472716
748595,15.368771661843262
748596,15.071396228606398
748597,14.779968304034268
748598,14.944368937953582
748599,15.10548155919451
748600,14.81337192801062
748601,14.527104489450407
748602,14.246562399661398
748603,13.97163115166817
748604,13.702198528634806
748605,13.438154558062111
748606,13.33939146690087
748607,13.082603637562855
748608,12.830951564811599
748609,12.584332533515367
748610,12.342645882845058
748611,12.105792965188156
748612,11.873677105884392
748613,11.646203563766703
748614,11.703279492491367
748615,11.79921390264154
748616,11.63322962458871
748617,11.450565032096936
748618,11.231553731454996
748619,11.066922656825895
